Poolu Poachers
Adah Sharma | Opening Batter | Batting: Right Hand Bowling: Left Arm Fast-Medium
Faria Abdullah | Opening Batter | Batting: Left Hand Bowling: Slow Left Arm Chinaman
Iswarya Menon | Opening Batter | Batting: Right Hand Bowling: Right Arm Fast-Medium
Lakshmi Menon | Opening Batter | Batting: Right Hand Bowling: Right Arm Offspin
Abhinaya | Top Order Batter | Batting: Right Hand Bowling: Right Arm Offspin
Salma Arun | Top Order Batter | Batting: Right Hand Bowling: Right Arm Medium
Alya Manasa | Middle Order Batter | Batting: Left Hand Bowling: Left Arm Medium
Dharsha Gupta | Middle Order Batter | Batting: Right Hand Bowling: Left Arm Medium
Nayanthara Kurian | Middle Order Batter | Batting: Right Hand Bowling: Right Arm Legspin
Sri Divya | Opening Keeper-Batter | Batting: Right Hand Bowling: N/A
Tripti Dimri | Top Order Keeper-Batter | Batting: Left Hand Bowling: N/A
Anju Kurian | Pace All Rounder | Batting: Left Hand Bowling: Left Arm Medium
Sunitha Srinivasan | Pace All Rounder | Batting: Right Hand Bowling: Right Arm Fast-Medium
Tejaswi Madivada | Pace All Rounder | Batting: Right Hand Bowling: Right Arm Medium-Fast
Amrutha Iyengar | Spin All Rounder | Batting: Right Hand Bowling: Right Arm Offspin
Dharshna Sripal | Spin All Rounder | Batting: Right Hand Bowling: Right Arm Offspin
Kiara Advani | Spin Bowler | Batting: Right Hand Bowling: Right Arm Offspin
Ritika Nayak | Spin Bowler | Batting: Right Hand Bowling: Right Arm Offspin
Sara Arjun | Spin Bowler | Batting: Right Hand Bowling: Right Arm Offspin
Anaswara Rajan | Pace Bowler | Batting: Left Hand Bowling: Left Arm Medium-Fast
Ayesha Zeenath | Pace Bowler | Batting: Right Hand Bowling: Left Arm Fast
Sanjanaa Singh | Pace Bowler | Batting: Right Hand Bowling: Left Arm Medium-Fast
Preity Mukhundhan | Pace Bowler | Batting: Right Hand Bowling: Right Arm Medium-Fast
Shraddha Srinath | Pace Bowler | Batting: Right Hand Bowling: Right Arm Medium-Fast
Zaara Vineet | Pace Bowler | Batting: Right Hand Bowling: Right Arm Fast


Koodhi Kweens
Anukreethy Vas | Opening Batter | Batting: Right Hand Bowling: Right Arm Medium-Fast
Juhi Rustagi | Opening Batter | Batting: Left Hand Bowling: Slow Left Arm Chinaman
Reba Monica John | Opening Batter | Batting: Right Hand Bowling: Left Arm Medium
Suruthi Periyasamy | Opening Batter | Batting: Right Hand Bowling: Right Arm Legspin
Mokksha Sengupta | Top Order Batter | Batting: Right Hand Bowling: Right Arm Medium
Vidhya Pradeep | Top Order Batter | Batting: Right Hand Bowling: Right Arm Fast-Medium
Gouri Kishan | Middle Order Batter | Batting: Right Hand Bowling: Right Arm Offspin
Madhumitha | Middle Order Batter | Batting: Left Hand Bowling: Left Arm Fast
Nikki Galrani | Middle Order Batter | Batting: Right Hand Bowling: Right Arm Offspin
Pragya Nayan | Middle Order Batter | Batting: Left Hand Bowling: Left Arm Fast-Medium
Raveena Daha | Opening Keeper-Batter | Batting: Right Hand Bowling: N/A
Abarnathi | Pace All Rounder | Batting: Left Hand Bowling: Left Arm Fast-Medium
Deepti Sati | Pace All Rounder | Batting: Right Hand Bowling: Right Arm Fast-Medium
Ritika Singh | Pace All Rounder | Batting: Right Hand Bowling: Left Arm Medium-Fast
Sanjana Sarathy | Spin All Rounder | Batting: Left Hand Bowling: Slow Left Arm Orthodox
Veena Nandakumar | Spin All Rounder | Batting: Right Hand Bowling: Right Arm Offspin
Miya George | Spin Bowler | Batting: Left Hand Bowling: Slow Left Arm Orthodox
Sanchana Natarajan | Spin Bowler | Batting: Left Hand Bowling: Slow Left Arm Orthodox
Shalini Pandey | Spin Bowler | Batting: Left Hand Bowling: Slow Left Arm Chinaman
